,,,CPUE [ln(catch+1)]
year,genus,region,abundance
1990,Chrysaora CA,central CA,0.24779784
1991,Chrysaora CA,central CA,0.282914
1992,Chrysaora CA,central CA,1.3821577
1993,Chrysaora CA,central CA,0.53113114
1994,Chrysaora CA,central CA,0.46806107
1995,Chrysaora CA,central CA,0.72572642
1996,Chrysaora CA,central CA,0.49990399
1997,Chrysaora CA,central CA,0.6561637
1998,Chrysaora CA,central CA,0.07728543
1999,Chrysaora CA,central CA,0
2000,Chrysaora CA,central CA,0.77232665
2001,Chrysaora CA,central CA,0.45869282
2002,Chrysaora CA,central CA,0
2003,Chrysaora CA,central CA,0
2004,Chrysaora CA,central CA,0
2005,Chrysaora CA,central CA,0.03451259
2006,Chrysaora CA,central CA,0.13077774
2007,Chrysaora CA,central CA,0.20142134
2008,Chrysaora CA,central CA,0.37498129
2009,Chrysaora CA,central CA,0.19019523
2010,Chrysaora CA,central CA,1.19188473
2011,Chrysaora CA,central CA,0.96821935
2012,Chrysaora CA,central CA,0.50738955
2013,Chrysaora CA,central CA,0.31975865
2014,Chrysaora CA,central CA,0.48955975
2015,Chrysaora CA,central CA,0.11460293
1990,Aurelia,central CA,0.16503472
1991,Aurelia,central CA,0.02745137
1992,Aurelia,central CA,0
1993,Aurelia,central CA,0.03695411
1994,Aurelia,central CA,0.09491737
1995,Aurelia,central CA,0.42324081
1996,Aurelia,central CA,0.09058179
1997,Aurelia,central CA,1.27238902
1998,Aurelia,central CA,0.01593442
1999,Aurelia,central CA,0
2000,Aurelia,central CA,0.40253182
2001,Aurelia,central CA,0.77896147
2002,Aurelia,central CA,0
2003,Aurelia,central CA,0
2004,Aurelia,central CA,0
2005,Aurelia,central CA,0.07701635
2006,Aurelia,central CA,0.03058002
2007,Aurelia,central CA,0.07707013
2008,Aurelia,central CA,1.23404881
2009,Aurelia,central CA,0.35998046
2010,Aurelia,central CA,0
2011,Aurelia,central CA,0.4734198
2012,Aurelia,central CA,0
2013,Aurelia,central CA,0.20708359
2014,Aurelia,central CA,0.06021095
2015,Aurelia,central CA,0.01174826
1999,Aequorea,PNW,8.963340366
2000,Aequorea,PNW,7.600494794
2001,Aequorea,PNW,5.456635374
2002,Aequorea,PNW,7.479266652
2003,Aequorea,PNW,6.174209999
2004,Aequorea,PNW,6.853618144
2005,Aequorea,PNW,3.67862139
2006,Aequorea,PNW,8.21475236
2007,Aequorea,PNW,3.404600018
2008,Aequorea,PNW,6.245997229
2009,Aequorea,PNW,6.492427498
2010,Aequorea,PNW,5.046466482
2011,Aequorea,PNW,4.88080062
2012,Aequorea,PNW,8.649494985
2013,Aequorea,PNW,4.467921014
2014,Aequorea,PNW,7.547271663
2015,Aequorea,PNW,8.825369135
2016,Aequorea,PNW,6.154308418
1999,Chrysaora PNW,PNW,3.750470917
2000,Chrysaora PNW,PNW,5.307437778
2001,Chrysaora PNW,PNW,9.216949889
2002,Chrysaora PNW,PNW,9.140901374
2003,Chrysaora PNW,PNW,8.154029248
2004,Chrysaora PNW,PNW,10.29830271
2005,Chrysaora PNW,PNW,7.416683262
2006,Chrysaora PNW,PNW,9.036984063
2007,Chrysaora PNW,PNW,9.319783174
2008,Chrysaora PNW,PNW,9.073767616
2009,Chrysaora PNW,PNW,8.358391311
2010,Chrysaora PNW,PNW,6.403892859
2011,Chrysaora PNW,PNW,6.977847251
2012,Chrysaora PNW,PNW,7.425419926
2013,Chrysaora PNW,PNW,8.488679563
2014,Chrysaora PNW,PNW,7.848779921
2015,Chrysaora PNW,PNW,0.266030825
2016,Chrysaora PNW,PNW,2.532772827
