,CPUE [ln(catch+1)],
year,abundance,species_group
1990,0.24779784,Chrysaora
1991,0.282914,Chrysaora
1992,1.3821577,Chrysaora
1993,0.53113114,Chrysaora
1994,0.46806107,Chrysaora
1995,0.72572642,Chrysaora
1996,0.49990399,Chrysaora
1997,0.6561637,Chrysaora
1998,0.07728543,Chrysaora
1999,2.812410216,Chrysaora
2000,5.093142554,Chrysaora
2001,8.67591271,Chrysaora
2002,8.141192706,Chrysaora
2003,7.15481065,Chrysaora
2004,9.298394289,Chrysaora
2005,6.452828585,Chrysaora
2006,8.168085033,Chrysaora
2007,8.521448133,Chrysaora
2008,8.449060464,Chrysaora
2009,7.549223561,Chrysaora
2010,6.600266531,Chrysaora
2011,6.948597671,Chrysaora
2012,6.934428018,Chrysaora
2013,7.808997437,Chrysaora
2014,7.339399858,Chrysaora
2015,0.5066450178,Chrysaora
1990,0.16503472,Aurelia
1991,0.02745137,Aurelia
1992,0,Aurelia
1993,0.03695411,Aurelia
1994,0.09491737,Aurelia
1995,0.42324081,Aurelia
1996,0.09058179,Aurelia
1997,1.27238902,Aurelia
1998,0.01593442,Aurelia
1999,0,Aurelia
2000,0.40253182,Aurelia
2001,0.77896147,Aurelia
2002,0,Aurelia
2003,0,Aurelia
2004,0,Aurelia
2005,0.07701635,Aurelia
2006,0.03058002,Aurelia
2007,0.07707013,Aurelia
2008,1.23404881,Aurelia
2009,0.35998046,Aurelia
2010,0,Aurelia
2011,0.4734198,Aurelia
2012,0,Aurelia
2013,0.20708359,Aurelia
2014,0.06021095,Aurelia
2015,0.01174826,Aurelia
1999,7.963688294,Aequorea
2000,6.601853566,Aequorea
2001,4.468169927,Aequorea
2002,6.480800411,Aequorea
2003,5.179854725,Aequorea
2004,5.856483533,Aequorea
2005,2.745024804,Aequorea
2006,7.215487742,Aequorea
2007,2.49105438,Aequorea
2008,5.251251964,Aequorea
2009,5.496536878,Aequorea
2010,4.06379944,Aequorea
2011,3.901224915,Aequorea
2012,7.649971156,Aequorea
2013,3.498626527,Aequorea
2014,6.548704658,Aequorea
2015,7.825768526,Aequorea
