,CPUE [ln(catch+1],
year,abundance,species_group
1990,0.247797844,Chrysaora
1991,0.282913996,Chrysaora
1992,1.3821577,Chrysaora
1993,0.531131135,Chrysaora
1994,0.468061074,Chrysaora
1995,0.725726416,Chrysaora
1996,0.499903985,Chrysaora
1997,0.656163698,Chrysaora
1998,0.07728543,Chrysaora
1999,0,Chrysaora
2000,0.77232665,Chrysaora
2001,0.458692819,Chrysaora
2002,,Chrysaora
2003,,Chrysaora
2004,,Chrysaora
2005,0.034512592,Chrysaora
2006,0.130777737,Chrysaora
2007,0.201421338,Chrysaora
2008,0.374981287,Chrysaora
2009,0.190195233,Chrysaora
2010,1.191884728,Chrysaora
2011,0.968219351,Chrysaora
2012,0.507389549,Chrysaora
2013,0.319758648,Chrysaora
2014,0.489559746,Chrysaora
2015,0.114602928,Chrysaora
1990,0.165034723,Aurelia
1991,0.027451373,Aurelia
1992,0,Aurelia
1993,0.036954114,Aurelia
1994,0.094917366,Aurelia
1995,0.423240809,Aurelia
1996,0.090581793,Aurelia
1997,1.272389021,Aurelia
1998,0.015934418,Aurelia
1999,0,Aurelia
2000,0.402531816,Aurelia
2001,0.778961468,Aurelia
2002,,Aurelia
2003,,Aurelia
2004,,Aurelia
2005,0.077016353,Aurelia
2006,0.030580023,Aurelia
2007,0.077070127,Aurelia
2008,1.234048805,Aurelia
2009,0.359980458,Aurelia
2010,0,Aurelia
2011,0.473419801,Aurelia
2012,0,Aurelia
2013,0.20708359,Aurelia
2014,0.060210949,Aurelia
2015,0.011748257,Aurelia
